depth_fsw,bottom_time_min,gas_mix,time_to_first_stop,stop_190,stop_180,stop_170,stop_160,stop_150,stop_140,stop_130,stop_120,stop_110,stop_100,stop_90,stop_80,stop_70,stop_60,stop_50,stop_40,stop_30,stop_20,total_ascent_time,chamber_o2_periods,section,source_page,notes
300,20,10.0-12.9,5:40,,,,,,,7,0,0,2,6,6,6,9,10,10,30,56,,3,decompression,12-38,manual reviewed
300,30,10.0-12.9,5:40,,,,,,,7,0,2,5,5,9,9,14,14,14,34,63,,5,decompression,12-38,manual reviewed
300,40,10.0-12.9,5:40,,,,,,,7,0,5,7,8,11,13,17,17,17,35,66,,6,decompression,12-38,manual reviewed exceptional exposure
300,60,10.0-12.9,5:20,,,,,,7,0,6,7,9,12,15,20,23,23,23,36,66,,7,decompression,12-38,manual reviewed exceptional exposure
300,80,10.0-12.9,5:20,,,,,,7,2,8,10,12,16,19,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
300,100,10.0-12.9,5:20,,,,,,7,5,10,12,15,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
300,120,10.0-12.9,5:20,,,,,,7,8,11,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
310,10,10.0-12.5,6:00,,,,,,,7,0,0,0,3,3,3,7,10,10,21,36,,2,decompression,12-38,manual reviewed
310,20,10.0-12.5,5:40,,,,,,,7,0,0,2,4,5,6,7,10,10,31,57,,4,decompression,12-38,manual reviewed
310,30,10.0-12.5,5:40,,,,,,,7,0,2,4,5,7,8,11,15,15,35,66,,5,decompression,12-38,manual reviewed
310,40,10.0-12.5,5:20,,,,,7,0,1,4,6,7,8,12,15,19,19,19,36,66,,7,decompression,12-38,manual reviewed exceptional exposure
310,60,10.0-12.5,5:20,,,,,7,0,5,6,9,11,13,17,20,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
310,80,10.0-12.5,5:20,,,,,7,3,7,9,11,13,17,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
310,100,10.0-12.5,5:20,,,,,7,5,9,11,13,17,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
310,120,10.0-12.5,5:20,,,,,7,7,12,13,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
320,10,10.0-12.2,6:20,,,,,,,7,0,0,0,4,3,3,7,10,10,21,38,,2,decompression,12-38,manual reviewed
320,20,10.0-12.2,6:00,,,,,,7,0,0,3,5,5,6,8,10,10,10,32,59,,4,decompression,12-38,manual reviewed
320,30,10.0-12.2,5:40,,,,,7,0,0,4,4,6,7,9,11,17,17,17,35,66,,5,decompression,12-38,manual reviewed
320,40,10.0-12.2,5:40,,,,,7,0,4,4,6,7,9,12,16,20,20,20,36,66,,6,decompression,12-38,manual reviewed exceptional exposure
320,60,10.0-12.2,5:20,,,,7,0,2,6,8,9,11,14,17,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
320,80,10.0-12.2,5:20,,,,7,0,6,8,8,13,14,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
320,100,10.0-12.2,5:20,,,,7,2,7,10,13,16,17,19,20,23,23,23,23,36,66,,8,decompression,12-38,manual reviewed exceptional exposure
